label	max_pay	sum_pay	sum_time	between_time	pv_qty_all	pv_qty_search_all	clct_qty_all	cart2_qty_all
0	13999	0	0	168	6	3	0	0
0	5998	4645	2	8	10	5	1	5
0	0	0	0	0	5	1	3	0
0	279	50.63	2	12	1	0	0	0
0	7280	7280	1	20	0	0	0	0
0	377	0	0	51	6	0	0	0
0	3088	0	0	32	17	1	0	0
0	2849	2849	1	26	0	0	0	1
0	718	0	0	161	49	20	1	1
0	4250	0	0	260	9	1	1	0
0	2498.81	182.86	1	1	21	0	0	0
0	0	0	0	0	2	1	0	0
0	1499	0	0	139	24	2	2	1
1	0	0	0	0	0	0	0	0
0	1196.64	1196.64	1	23	22	4	0	6
0	5500	5500	1	4	0	0	0	0
0	1599	1599	1	26	14	5	0	0
1	21614	21614	1	1	0	0	0	0
0	77.31	0	0	77	3	1	0	0
0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	0	3
0	10999	0	0	307	0	0	0	1
0	4380	4380	1	25	1	1	0	0
0	18666	18666	1	1	23	1	0	1
0	14.9	28.9	2	19	2	0	0	0
0	1899	0	0	131	0	0	0	0
1	4998	4998	1	1	4	0	0	2
0	90	90	1	2	0	0	0	0
0	0	0	0	0	10	1	0	0
1	0	0	0	0	5	1	2	0
0	2798	0	0	53	1	0	0	0
0	0	0	0	0	0	0	0	0
0	11438	11438	1	6	0	0	0	0
0	2799	0	0	355	0	0	0	0
0	2999	1894.33	2	3	13	0	0	0
0	15379	28969	2	1	0	0	0	1
1	2338	299	1	8	0	0	0	0
0	4498	0	0	291	0	0	0	0
0	0	0	0	0	2	0	0	0
0	1099	144.14	4	3	1	1	0	0
0	15.9	15.9	1	3	6	2	0	6
0	3830	2978.3	1	23	0	0	3	0
0	0	0	0	0	0	0	0	0
0	1998	0	0	100	9	0	0	0
0	98.77	2.89	1	23	2	0	0	0
1	0	0	0	0	0	1	0	0
0	919	0	0	77	1	0	0	0
0	11966	12365	2	1	24	0	0	5
0	9279.01	2188.01	1	2	23	1	0	1
0	9788	0	0	137	3	2	0	0
0	0	0	0	0	4	0	0	0
